table_name,column_count,columns
beta_testers,5,agreed_at timestamp with time zone null | email text null | first_name text null | id uuid notnull | ip_address text null
investor_interest,10,created_at timestamp with time zone notnull | email text notnull | email_opt_in boolean notnull | first_visited_at timestamp with time zone null | id uuid notnull | last_visited_at timestamp with time zone null | name text notnull | phone text null | token text notnull | visit_count integer notnull
leads,7,city text notnull | created_at timestamp with time zone null | event_type text null | id uuid notnull | realtor_id text null | status text null | user_id uuid null
md_clients,8,assigned_at timestamp with time zone null | client_email text notnull | id uuid notnull | internal_notes text null | journey_health character varying null | md_email text notnull | shared_notes text null | status character varying null
messages,10,body text notnull | client_email text notnull | created_at timestamp with time zone null | id uuid notnull | md_email text notnull | notification_sent boolean null | read boolean null | sender_role character varying notnull | subject text null | updated_at timestamp with time zone null
mm3_activity_events,5,created_at timestamp with time zone notnull | event_type text notnull | id uuid notnull | payload jsonb notnull | user_email text notnull
mm4_profiles,50,additional_must_haves text null | approximate_equity text null | areas_researched text null | best_time_to_reach text null | children_ages text null | city1_reasoning text null | city2_reasoning text null | city3_reasoning text null | confirmed_target_city text null | created_at timestamp with time zone null | current_address text null | current_city text null | current_state text null | current_zip text null | deal_breakers text null | email text notnull | employment_status text null | first_call_priority text null | has_pets boolean null | home_listed boolean null | household_alignment text null | household_members jsonb null | id uuid notnull | income_range_confirmed text null | last_completed_section integer null | num_adults integer null | num_children integer null | origin_situation text null | partner_first_name text null | partner_last_name text null | pet_details text null | phone text null | preferred_contact text null | primary_first_name text null | primary_last_name text null | purchase_contingent text null | quiz_session_id text null | relocation_package boolean null | ruled_out_cities text null | special_notes text null | submitted boolean null | submitted_at timestamp with time zone null | target_confidence text null | target_move_date text null | timeline_flexibility text null | updated_at timestamp with time zone null | user_id uuid null | why_now text null | why_texas text null | work_arrangement text null
quiz_sessions,35,annual_income numeric null | archetype text null | buyer_profile jsonb null | cards_answered integer null | community_feel text null | completed boolean null | completion_percentage integer null | created_at timestamp with time zone null | current_step integer notnull | email text null | entry_path text null | financial_data jsonb null | first_name text null | growth_profile integer null | home_status text null | household_size integer null | housing_preference text null | id uuid notnull | last_step integer null | lifestyle_orientation integer null | metro_preference jsonb null | move_timeline text null | moving_timeline text null | must_haves jsonb null | nice_to_haves jsonb null | not_priorities jsonb null | origin_zip text null | priorities jsonb null | quiz_version text null | session_id uuid notnull | started_at timestamp with time zone null | target_metro text null | unassigned_priorities jsonb null | updated_at timestamp with time zone null | work_situation text null
realtor_applications,23,brokerage text null | buyer_transaction_count integer null | buyer_transaction_volume numeric null | created_at timestamp with time zone null | email text notnull | har_profile_url text null | id uuid notnull | interest_token text null | license_type text null | market_segments ARRAY null | market_specialty text null | name text notnull | phone text null | preferred_tier text null | profile_url text null | seller_transaction_count integer null | seller_transaction_volume numeric null | standards_acknowledged boolean null | status text null | transactions jsonb null | trec_license_number text null | why_join text null | years_experience integer null
realtor_interest,10,created_at timestamp with time zone null | email text notnull | first_name text notnull | id uuid notnull | last_name text notnull | market_specialty text null | phone text null | referral_source text null | token text notnull | token_used boolean null
staff_accounts,11,calendly_url text null | compass_walkthrough_complete boolean null | created_at timestamp with time zone null | email text notnull | full_name text notnull | id uuid notnull | metro character varying null | microsoft_365_provisioned boolean null | role character varying notnull | status character varying null | updated_at timestamp with time zone null
users,57,annual_income integer null | annual_income_override integer null | archetype text null | available_funds integer null | buyer_profile jsonb null | chosen_communities ARRAY null | community_feel text null | created_at timestamp with time zone null | culture integer null | current_milemarker integer null | dna_weighting_profile jsonb null | email text notnull | engagement_paid boolean null | entry_path text null | environment integer null | exact_home_proceeds integer null | family_profile jsonb null | financial_picture jsonb null | first_name text notnull | growth_profile integer null | home_status text null | household_size text null | housing_preference text null | id uuid notnull | lender_name character varying null | lifestyle_orientation integer null | loan_term_preference integer null | market_director_name character varying null | mm2_checklist jsonb null | move_timeline text null | moving_timeline text null | must_haves ARRAY null | nice_to_haves ARRAY null | not_priorities ARRAY null | onboarding_acknowledged boolean null | origin_city text null | origin_state text null | origin_zip character varying null | pace integer null | partner_name text null | phone text null | portal_notes text null | preferred_city text null | profile_photo_url text null | report_emailed boolean null | sandbox_committed boolean null | sandbox_committed_at timestamp with time zone null | sandbox_profile jsonb null | select_agent_name character varying null | target_metro text null | theme_preference character varying null | top_city_matches jsonb null | unassigned_priorities jsonb null | updated_at timestamp with time zone null | user_role character varying null | welcome_seen boolean null | work_situation text null
